Name,Train Size,Loss,Accuracy,Precision,Recall,PR AUC,ROC AUC,F1 Score
wgEncodeAwgTfbsSydhHelas3Rfx5200401194IggrabUniPk,30072,0.2796752154827118,0.8831738233566284,0.8964220285415649,0.8688399791717529,0.9555146098136902,0.9548336863517761,0.8816131353378296
wgEncodeAwgTfbsSydhGm12878Tr4UniPk,1774,0.431200236082077,0.8571428656578064,0.8650858402252197,0.862291693687439,0.9341561794281006,0.9366459846496582,0.8631311058998108
wgEncodeAwgTfbsSydhK562Pol2Ifng30UniPk,25634,0.3807433247566223,0.8275700807571411,0.8377181887626648,0.8208077549934387,0.9115048050880432,0.9096214175224304,0.8279008865356445
wgEncodeAwgTfbsSydhGm12878E2f4IggmusUniPk,5403,0.33476412296295166,0.8573540449142456,0.8527306914329529,0.8515926003456116,0.9392659664154053,0.9377477765083313,0.8513867855072021
wgEncodeAwgTfbsUwRptecCtcfUniPk,90392,0.11318396776914597,0.9615029096603394,0.9652374982833862,0.9575330018997192,0.9903014302253723,0.9909226298332214,0.9610462784767151
wgEncodeAwgTfbsHaibK562Zbtb33Pcr1xUniPk,4945,0.3363170027732849,0.8685847520828247,0.8824148178100586,0.871577799320221,0.9416463375091553,0.9420581459999084,0.8762401342391968
wgEncodeAwgTfbsUwAg10803CtcfUniPk,73607,0.09743721783161163,0.9654276967048645,0.9713621735572815,0.9591931700706482,0.9930459260940552,0.9933446645736694,0.9649702310562134
wgEncodeAwgTfbsHaibHct116Zbtb33V0416101UniPk,6846,0.302420437335968,0.8779205679893494,0.882339358329773,0.8611901998519897,0.9520108103752136,0.951249361038208,0.8705872297286987
wgEncodeAwgTfbsSydhHepg2Pol2ForsklnUniPk,35801,0.26860368251800537,0.8890998363494873,0.8821669220924377,0.8928663730621338,0.9582948684692383,0.9575607776641846,0.8838931918144226
wgEncodeAwgTfbsHaibK562Trim28sc81411V0422111UniPk,18831,0.3852452337741852,0.8407897353172302,0.8600644469261169,0.81296706199646,0.9143686294555664,0.9172956347465515,0.8348584771156311
